Gamma     = 0.99 , alpha    = 0.1 , episodes            = 50000
n actions = 3    , n states = 1089 , n state action pair = 3267

row	 	 x	 	 y	 	theta	 	actions	 	best action	 	Q Table
148	 	-5	 	0	 	0	 	1	 	0	 	 	-2.611
149	 	-5	 	0	 	0	 	2	 	0	 	 	-2.597
150	 	-5	 	0	 	0.7854	 	0	 	0	 	 	32.13
151	 	-5	 	0	 	0.7854	 	1	 	0	 	 	-2.725
152	 	-5	 	0	 	0.7854	 	2	 	0	 	 	-2.778
153	 	-5	 	0	 	1.571	 	0	 	1	 	 	-3.455
154	 	-5	 	0	 	1.571	 	1	 	1	 	 	27.79
155	 	-5	 	0	 	1.571	 	2	 	1	 	 	-3.503
156	 	-5	 	0	 	2.356	 	0	 	1	 	 	-6.065
157	 	-5	 	0	 	2.356	 	1	 	1	 	 	20.88
158	 	-5	 	0	 	2.356	 	2	 	1	 	 	-4.26
159	 	-5	 	0	 	3.142	 	0	 	1	 	 	-6.525
160	 	-5	 	0	 	3.142	 	1	 	1	 	 	11.54
161	 	-5	 	0	 	3.142	 	2	 	1	 	 	-6.5
162	 	-5	 	1	 	-3.142	 	0	 	2	 	 	-7.403
163	 	-5	 	1	 	-3.142	 	1	 	2	 	 	-6.002
164	 	-5	 	1	 	-3.142	 	2	 	2	 	 	15.9
165	 	-5	 	1	 	-2.356	 	0	 	2	 	 	-6.081
166	 	-5	 	1	 	-2.356	 	1	 	2	 	 	-4.093
167	 	-5	 	1	 	-2.356	 	2	 	2	 	 	23.7
168	 	-5	 	1	 	-1.571	 	0	 	2	 	 	-3.394
169	 	-5	 	1	 	-1.571	 	1	 	2	 	 	-3.353
170	 	-5	 	1	 	-1.571	 	2	 	2	 	 	29.82
171	 	-5	 	1	 	-0.7854	 	0	 	0	 	 	35.37
172	 	-5	 	1	 	-0.7854	 	1	 	0	 	 	-2.733
173	 	-5	 	1	 	-0.7854	 	2	 	0	 	 	-2.791
174	 	-5	 	1	 	0	 	0	 	0	 	 	27.31
175	 	-5	 	1	 	0	 	1	 	0	 	 	-2.542
176	 	-5	 	1	 	0	 	2	 	0	 	 	-2.54
177	 	-5	 	1	 	0.7854	 	0	 	0	 	 	32.47
178	 	-5	 	1	 	0.7854	 	1	 	0	 	 	-2.681
179	 	-5	 	1	 	0.7854	 	2	 	0	 	 	-2.661
180	 	-5	 	1	 	1.571	 	0	 	1	 	 	-3.355
181	 	-5	 	1	 	1.571	 	1	 	1	 	 	29.65
182	 	-5	 	1	 	1.571	 	2	 	1	 	 	-3.335
183	 	-5	 	1	 	2.356	 	0	 	1	 	 	-8.143
184	 	-5	 	1	 	2.356	 	1	 	1	 	 	23.29
185	 	-5	 	1	 	2.356	 	2	 	1	 	 	-3.999
186	 	-5	 	1	 	3.142	 	0	 	1	 	 	-10.39
187	 	-5	 	1	 	3.142	 	1	 	1	 	 	14.87
188	 	-5	 	1	 	3.142	 	2	 	1	 	 	-8.797
189	 	-5	 	2	 	-3.142	 	0	 	2	 	 	-5.312
190	 	-5	 	2	 	-3.142	 	1	 	2	 	 	-4.903
191	 	-5	 	2	 	-3.142	 	2	 	2	 	 	13.48
192	 	-5	 	2	 	-2.356	 	0	 	2	 	 	-6.956
193	 	-5	 	2	 	-2.356	 	1	 	2	 	 	-4.216
194	 	-5	 	2	 	-2.356	 	2	 	2	 	 	23.1
195	 	-5	 	2	 	-1.571	 	0	 	2	 	 	-3.457
196	 	-5	 	2	 	-1.571	 	1	 	2	 	 	-3.438
197	 	-5	 	2	 	-1.571	 	2	 	2	 	 	27.97
198	 	-5	 	2	 	-0.7854	 	0	 	2	 	 	-2.727
199	 	-5	 	2	 	-0.7854	 	1	 	2	 	 	-2.843
200	 	-5	 	2	 	-0.7854	 	2	 	2	 	 	31.39
201	 	-5	 	2	 	0	 	0	 	0	 	 	34.02
202	 	-5	 	2	 	0	 	1	 	0	 	 	-2.428
203	 	-5	 	2	 	0	 	2	 	0	 	 	-2.419
204	 	-5	 	2	 	0.7854	 	0	 	0	 	 	32.45
205	 	-5	 	2	 	0.7854	 	1	 	0	 	 	-2.777
206	 	-5	 	2	 	0.7854	 	2	 	0	 	 	-2.83
207	 	-5	 	2	 	1.571	 	0	 	1	 	 	-3.475
208	 	-5	 	2	 	1.571	 	1	 	1	 	 	28.92
209	 	-5	 	2	 	1.571	 	2	 	1	 	 	-3.564
210	 	-5	 	2	 	2.356	 	0	 	1	 	 	-7.022
211	 	-5	 	2	 	2.356	 	1	 	1	 	 	22.2
212	 	-5	 	2	 	2.356	 	2	 	1	 	 	-4.187
213	 	-5	 	2	 	3.142	 	0	 	1	 	 	-7.806
214	 	-5	 	2	 	3.142	 	1	 	1	 	 	12.53
215	 	-5	 	2	 	3.142	 	2	 	1	 	 	-6.169
216	 	-5	 	3	 	-3.142	 	0	 	2	 	 	-5.373
217	 	-5	 	3	 	-3.142	 	1	 	2	 	 	-5.199
218	 	-5	 	3	 	-3.142	 	2	 	2	 	 	15.63
219	 	-5	 	3	 	-2.356	 	0	 	2	 	 	-4.666
220	 	-5	 	3	 	-2.356	 	1	 	2	 	 	-4
221	 	-5	 	3	 	-2.356	 	2	 	2	 	 	23.91
