Gamma     = 0.99 , alpha    = 0.1 , episodes            = 25000
n actions = 3    , n states = 441 , n state action pair = 1323

row	 	 x	 	 y	 	theta	 	actions	 	best action	 	Q Table
140	 	-1.5	 	1	 	-2.356	 	2	 	2	 	 	35.04
141	 	-1.5	 	1	 	-1.571	 	0	 	2	 	 	-2.048
142	 	-1.5	 	1	 	-1.571	 	1	 	2	 	 	-2.074
143	 	-1.5	 	1	 	-1.571	 	2	 	2	 	 	41.22
144	 	-1.5	 	1	 	-0.7854	 	0	 	0	 	 	46.25
145	 	-1.5	 	1	 	-0.7854	 	1	 	0	 	 	-1.447
146	 	-1.5	 	1	 	-0.7854	 	2	 	0	 	 	-1.426
147	 	-1.5	 	1	 	0	 	0	 	1	 	 	-0.9477
148	 	-1.5	 	1	 	0	 	1	 	1	 	 	34.98
149	 	-1.5	 	1	 	0	 	2	 	1	 	 	-0.9781
150	 	-1.5	 	1	 	0.7854	 	0	 	0	 	 	52.08
151	 	-1.5	 	1	 	0.7854	 	1	 	0	 	 	-1.392
152	 	-1.5	 	1	 	0.7854	 	2	 	0	 	 	-1.425
153	 	-1.5	 	1	 	1.571	 	0	 	1	 	 	-2.045
154	 	-1.5	 	1	 	1.571	 	1	 	1	 	 	48.87
155	 	-1.5	 	1	 	1.571	 	2	 	1	 	 	-2.028
156	 	-1.5	 	1	 	2.356	 	0	 	1	 	 	-2.757
157	 	-1.5	 	1	 	2.356	 	1	 	1	 	 	43.35
158	 	-1.5	 	1	 	2.356	 	2	 	1	 	 	-2.615
159	 	-1.5	 	1	 	3.142	 	0	 	1	 	 	-3.739
160	 	-1.5	 	1	 	3.142	 	1	 	1	 	 	33.43
161	 	-1.5	 	1	 	3.142	 	2	 	1	 	 	-3.917
162	 	-1.5	 	1.5	 	-3.142	 	0	 	2	 	 	-2.997
163	 	-1.5	 	1.5	 	-3.142	 	1	 	2	 	 	-2.997
164	 	-1.5	 	1.5	 	-3.142	 	2	 	2	 	 	27.78
165	 	-1.5	 	1.5	 	-2.356	 	0	 	2	 	 	-2.997
166	 	-1.5	 	1.5	 	-2.356	 	1	 	2	 	 	-2.28
167	 	-1.5	 	1.5	 	-2.356	 	2	 	2	 	 	38.39
168	 	-1.5	 	1.5	 	-1.571	 	0	 	2	 	 	-1.633
169	 	-1.5	 	1.5	 	-1.571	 	1	 	2	 	 	-1.549
170	 	-1.5	 	1.5	 	-1.571	 	2	 	2	 	 	44.35
171	 	-1.5	 	1.5	 	-0.7854	 	0	 	2	 	 	-0.9419
172	 	-1.5	 	1.5	 	-0.7854	 	1	 	2	 	 	-0.9391
173	 	-1.5	 	1.5	 	-0.7854	 	2	 	2	 	 	49.58
174	 	-1.5	 	1.5	 	0	 	0	 	0	 	 	54.65
175	 	-1.5	 	1.5	 	0	 	1	 	0	 	 	-1.44
176	 	-1.5	 	1.5	 	0	 	2	 	0	 	 	-1.449
177	 	-1.5	 	1.5	 	0.7854	 	0	 	1	 	 	-2.933
