Gamma     = 0.99 , alpha    = 0.1 , episodes            = 30000
n actions = 3    , n states = 504 , n state action pair = 1512

row	 	 x	 	 y	 	theta	 	actions	 	best action	 	Q Table
152	 	-6.5	 	3	 	0.7854	 	2	 	1	 	 	-1.938
153	 	-6.5	 	3	 	1.571	 	0	 	1	 	 	-2.611
154	 	-6.5	 	3	 	1.571	 	1	 	1	 	 	47.43
155	 	-6.5	 	3	 	1.571	 	2	 	1	 	 	-2.713
156	 	-6.5	 	3	 	2.356	 	0	 	1	 	 	-3.914
157	 	-6.5	 	3	 	2.356	 	1	 	1	 	 	42.83
158	 	-6.5	 	3	 	2.356	 	2	 	1	 	 	-3.389
159	 	-6.5	 	3	 	3.142	 	0	 	1	 	 	-4.99
160	 	-6.5	 	3	 	3.142	 	1	 	1	 	 	35.5
161	 	-6.5	 	3	 	3.142	 	2	 	1	 	 	-4.99
162	 	-6.5	 	3.5	 	-3.142	 	0	 	2	 	 	-1.999
163	 	-6.5	 	3.5	 	-3.142	 	1	 	2	 	 	-2.917
164	 	-6.5	 	3.5	 	-3.142	 	2	 	2	 	 	41.42
165	 	-6.5	 	3.5	 	-2.356	 	0	 	2	 	 	-1.999
166	 	-6.5	 	3.5	 	-2.356	 	1	 	2	 	 	-1.499
167	 	-6.5	 	3.5	 	-2.356	 	2	 	2	 	 	52.25
168	 	-6.5	 	3.5	 	-1.571	 	0	 	0	 	 	58.23
169	 	-6.5	 	3.5	 	-1.571	 	1	 	0	 	 	-1.15
170	 	-6.5	 	3.5	 	-1.571	 	2	 	0	 	 	-1.148
171	 	-6.5	 	3.5	 	-0.7854	 	0	 	1	 	 	-1.474
172	 	-6.5	 	3.5	 	-0.7854	 	1	 	1	 	 	54.84
173	 	-6.5	 	3.5	 	-0.7854	 	2	 	1	 	 	-1.568
174	 	-6.5	 	3.5	 	0	 	0	 	1	 	 	-2.252
175	 	-6.5	 	3.5	 	0	 	1	 	1	 	 	51.22
176	 	-6.5	 	3.5	 	0	 	2	 	1	 	 	-2.257
177	 	-6.5	 	3.5	 	0.7854	 	0	 	1	 	 	-4.302
178	 	-6.5	 	3.5	 	0.7854	 	1	 	1	 	 	46.68
179	 	-6.5	 	3.5	 	0.7854	 	2	 	1	 	 	-3.089
180	 	-6.5	 	3.5	 	1.571	 	0	 	1	 	 	-6.438
181	 	-6.5	 	3.5	 	1.571	 	1	 	1	 	 	41.07
182	 	-6.5	 	3.5	 	1.571	 	2	 	1	 	 	-3.78
183	 	-6.5	 	3.5	 	2.356	 	0	 	1	 	 	-6.175
184	 	-6.5	 	3.5	 	2.356	 	1	 	1	 	 	35.03
185	 	-6.5	 	3.5	 	2.356	 	2	 	1	 	 	-4.625
186	 	-6.5	 	3.5	 	3.142	 	0	 	1	 	 	-7.628
187	 	-6.5	 	3.5	 	3.142	 	1	 	1	 	 	25.62
188	 	-6.5	 	3.5	 	3.142	 	2	 	1	 	 	-7.593
189	 	-6	 	0.5	 	-3.142	 	0	 	0	 	 	61.48
190	 	-6	 	0.5	 	-3.142	 	1	 	0	 	 	0
191	 	-6	 	0.5	 	-3.142	 	2	 	0	 	 	0
192	 	-6	 	0.5	 	-2.356	 	0	 	1	 	 	-1
193	 	-6	 	0.5	 	-2.356	 	1	 	1	 	 	59.05
194	 	-6	 	0.5	 	-2.356	 	2	 	1	 	 	-0.1
195	 	-6	 	0.5	 	-1.571	 	0	 	1	 	 	-1
196	 	-6	 	0.5	 	-1.571	 	1	 	1	 	 	55.97
197	 	-6	 	0.5	 	-1.571	 	2	 	1	 	 	-0.2998
198	 	-6	 	0.5	 	-0.7854	 	0	 	1	 	 	-1
199	 	-6	 	0.5	 	-0.7854	 	1	 	1	 	 	51.04
200	 	-6	 	0.5	 	-0.7854	 	2	 	1	 	 	-0.4602
201	 	-6	 	0.5	 	0	 	0	 	1	 	 	-0.5933
202	 	-6	 	0.5	 	0	 	1	 	1	 	 	38.96
203	 	-6	 	0.5	 	0	 	2	 	1	 	 	-0.5404
204	 	-6	 	0.5	 	0.7854	 	0	 	2	 	 	-0.3415
205	 	-6	 	0.5	 	0.7854	 	1	 	2	 	 	-0.3437
206	 	-6	 	0.5	 	0.7854	 	2	 	2	 	 	41.13
207	 	-6	 	0.5	 	1.571	 	0	 	2	 	 	-0.2407
208	 	-6	 	0.5	 	1.571	 	1	 	2	 	 	-0.2009
209	 	-6	 	0.5	 	1.571	 	2	 	2	 	 	53.78
210	 	-6	 	0.5	 	2.356	 	0	 	2	 	 	-0.1507
211	 	-6	 	0.5	 	2.356	 	1	 	2	 	 	-0.1
212	 	-6	 	0.5	 	2.356	 	2	 	2	 	 	59.21
213	 	-6	 	0.5	 	3.142	 	0	 	0	 	 	64.34
214	 	-6	 	0.5	 	3.142	 	1	 	0	 	 	0
215	 	-6	 	0.5	 	3.142	 	2	 	0	 	 	0
216	 	-6	 	1	 	-3.142	 	0	 	2	 	 	-0.1198
217	 	-6	 	1	 	-3.142	 	1	 	2	 	 	-1
218	 	-6	 	1	 	-3.142	 	2	 	2	 	 	58.37
219	 	-6	 	1	 	-2.356	 	0	 	0	 	 	65.94
220	 	-6	 	1	 	-2.356	 	1	 	0	 	 	0
221	 	-6	 	1	 	-2.356	 	2	 	0	 	 	-0.1
222	 	-6	 	1	 	-1.571	 	0	 	1	 	 	-0.2186
223	 	-6	 	1	 	-1.571	 	1	 	1	 	 	63.41
224	 	-6	 	1	 	-1.571	 	2	 	1	 	 	-0.1999
225	 	-6	 	1	 	-0.7854	 	0	 	1	 	 	-0.2533
226	 	-6	 	1	 	-0.7854	 	1	 	1	 	 	59.86
227	 	-6	 	1	 	-0.7854	 	2	 	1	 	 	-0.2009
228	 	-6	 	1	 	0	 	0	 	1	 	 	-0.3949
229	 	-6	 	1	 	0	 	1	 	1	 	 	55
230	 	-6	 	1	 	0	 	2	 	1	 	 	-0.3179
231	 	-6	 	1	 	0.7854	 	0	 	1	 	 	-0.637
232	 	-6	 	1	 	0.7854	 	1	 	1	 	 	47.97
233	 	-6	 	1	 	0.7854	 	2	 	1	 	 	-0.6237
234	 	-6	 	1	 	1.571	 	0	 	1	 	 	-1.07
235	 	-6	 	1	 	1.571	 	1	 	1	 	 	38.06
236	 	-6	 	1	 	1.571	 	2	 	1	 	 	-0.9952
237	 	-6	 	1	 	2.356	 	0	 	0	 	 	42.46
238	 	-6	 	1	 	2.356	 	1	 	0	 	 	-1.096
239	 	-6	 	1	 	2.356	 	2	 	0	 	 	-1.09
240	 	-6	 	1	 	3.142	 	0	 	1	 	 	-1.583
241	 	-6	 	1	 	3.142	 	1	 	1	 	 	28.12
242	 	-6	 	1	 	3.142	 	2	 	1	 	 	-1.999
243	 	-6	 	1.5	 	-3.142	 	0	 	2	 	 	-0.2409
244	 	-6	 	1.5	 	-3.142	 	1	 	2	 	 	-1
245	 	-6	 	1.5	 	-3.142	 	2	 	2	 	 	44.96
246	 	-6	 	1.5	 	-2.356	 	0	 	0	 	 	58.71
247	 	-6	 	1.5	 	-2.356	 	1	 	0	 	 	-0.2819
248	 	-6	 	1.5	 	-2.356	 	2	 	0	 	 	-0.2098
249	 	-6	 	1.5	 	-1.571	 	0	 	0	 	 	60.29
250	 	-6	 	1.5	 	-1.571	 	1	 	0	 	 	-0.3808
251	 	-6	 	1.5	 	-1.571	 	2	 	0	 	 	-0.4057
252	 	-6	 	1.5	 	-0.7854	 	0	 	1	 	 	-0.4622
253	 	-6	 	1.5	 	-0.7854	 	1	 	1	 	 	54.85
254	 	-6	 	1.5	 	-0.7854	 	2	 	1	 	 	-0.4934
255	 	-6	 	1.5	 	0	 	0	 	1	 	 	-0.7073
256	 	-6	 	1.5	 	0	 	1	 	1	 	 	47.16
257	 	-6	 	1.5	 	0	 	2	 	1	 	 	-0.7119
258	 	-6	 	1.5	 	0.7854	 	0	 	1	 	 	-1.189
259	 	-6	 	1.5	 	0.7854	 	1	 	1	 	 	37.64
260	 	-6	 	1.5	 	0.7854	 	2	 	1	 	 	-1.131
261	 	-6	 	1.5	 	1.571	 	0	 	2	 	 	-1.726
262	 	-6	 	1.5	 	1.571	 	1	 	2	 	 	-1.667
263	 	-6	 	1.5	 	1.571	 	2	 	2	 	 	34.48
264	 	-6	 	1.5	 	2.356	 	0	 	0	 	 	47.23
265	 	-6	 	1.5	 	2.356	 	1	 	0	 	 	-1.635
266	 	-6	 	1.5	 	2.356	 	2	 	0	 	 	-1.635
267	 	-6	 	1.5	 	3.142	 	0	 	1	 	 	-1.954
268	 	-6	 	1.5	 	3.142	 	1	 	1	 	 	36.74
269	 	-6	 	1.5	 	3.142	 	2	 	1	 	 	-1.999
270	 	-6	 	2	 	-3.142	 	0	 	2	 	 	-0.4061
271	 	-6	 	2	 	-3.142	 	1	 	2	 	 	-1
272	 	-6	 	2	 	-3.142	 	2	 	2	 	 	57.56
273	 	-6	 	2	 	-2.356	 	0	 	0	 	 	64.44
274	 	-6	 	2	 	-2.356	 	1	 	0	 	 	-0.2898
275	 	-6	 	2	 	-2.356	 	2	 	0	 	 	-0.2997
276	 	-6	 	2	 	-1.571	 	0	 	1	 	 	-0.5449
277	 	-6	 	2	 	-1.571	 	1	 	1	 	 	57.47
278	 	-6	 	2	 	-1.571	 	2	 	1	 	 	-0.4929
279	 	-6	 	2	 	-0.7854	 	0	 	1	 	 	-0.5404
280	 	-6	 	2	 	-0.7854	 	1	 	1	 	 	51.52
281	 	-6	 	2	 	-0.7854	 	2	 	1	 	 	-0.5734
282	 	-6	 	2	 	0	 	0	 	1	 	 	-0.9019
283	 	-6	 	2	 	0	 	1	 	1	 	 	45.21
284	 	-6	 	2	 	0	 	2	 	1	 	 	-0.9537
285	 	-6	 	2	 	0.7854	 	0	 	1	 	 	-1.505
286	 	-6	 	2	 	0.7854	 	1	 	1	 	 	34.23
287	 	-6	 	2	 	0.7854	 	2	 	1	 	 	-1.509
288	 	-6	 	2	 	1.571	 	0	 	2	 	 	-1.994
289	 	-6	 	2	 	1.571	 	1	 	2	 	 	-1.887
290	 	-6	 	2	 	1.571	 	2	 	2	 	 	36.59
291	 	-6	 	2	 	2.356	 	0	 	0	 	 	47.02
292	 	-6	 	2	 	2.356	 	1	 	0	 	 	-1.897
293	 	-6	 	2	 	2.356	 	2	 	0	 	 	-1.945
294	 	-6	 	2	 	3.142	 	0	 	1	 	 	-2.23
295	 	-6	 	2	 	3.142	 	1	 	1	 	 	39.01
296	 	-6	 	2	 	3.142	 	2	 	1	 	 	-2.997
297	 	-6	 	2.5	 	-3.142	 	0	 	2	 	 	-0.9058
298	 	-6	 	2.5	 	-3.142	 	1	 	2	 	 	-1
299	 	-6	 	2.5	 	-3.142	 	2	 	2	 	 	47.84
300	 	-6	 	2.5	 	-2.356	 	0	 	0	 	 	59.78
301	 	-6	 	2.5	 	-2.356	 	1	 	0	 	 	-0.8041
302	 	-6	 	2.5	 	-2.356	 	2	 	0	 	 	-0.8068
303	 	-6	 	2.5	 	-1.571	 	0	 	1	 	 	-0.8902
304	 	-6	 	2.5	 	-1.571	 	1	 	1	 	 	56.6
305	 	-6	 	2.5	 	-1.571	 	2	 	1	 	 	-0.9058
306	 	-6	 	2.5	 	-0.7854	 	0	 	1	 	 	-1.021
307	 	-6	 	2.5	 	-0.7854	 	1	 	1	 	 	53.19
308	 	-6	 	2.5	 	-0.7854	 	2	 	1	 	 	-1.051
